,0,1
90,Södermanlands läns författningssamling (04FS),https://www.lansstyrelsen.se/sodermanland/om-oss/om-lansstyrelsen-i-sodermanlands-lan/forfattningar.html
91,Tandvårds- och läkemedelsförmånsverkets föreskrifter (se också Gemensamma författningssamlingen HSLF-FS),https://www.tlv.se/om-oss/om-tlv/regelverk/foreskrifter.html
92,Tillväxtverkets författningssamling (TVFS),https://tillvaxtverket.se/om-tillvaxtverket/uppdrag/foreskrifter.html
93,Totalförsvarets plikt- och prövningsverks författningssamling (TPPVFS),https://www.pliktverket.se/om-myndigheten/lag-och-ratt/foreskrifter
94,Trafikanalys föreskrifter (publiceras i Kammarkollegiets serie),https://www.trafa.se/sidor/foreskrifter/
95,Trafikverkets författningssamling (TRVFS),https://www.trafikverket.se/om-oss/var-verksamhet-vision-och-uppdrag/trafikverkets-forfattningssamling/
96,Transportstyrelsens författningssamling (TSFS),https://www.transportstyrelsen.se/sv/Regler/sok-ts-foreskrifter/
97,Tullverkets författningssamling (TFS),https://www.tullverket.se/sv/omoss/lagarochforeskrifter/tullverketsforfattningssamlingtfs.4.7df61c5915510cfe9e7f3e3.html
98,Universitets- och högskolerådets författningssamling (UHRFS),https://www.uhr.se/publikationer/lagar-och-regler-for-hogre-utbildning/Universitets--och-hogskoleradets-forfattningssamling/
99,Upphandlingmyndighetens författningssamling (UFS),https://www.upphandlingsmyndigheten.se/om-oss/upphandlingsmyndighetens-forfattningssamling/
100,Uppsala läns författningssamling (03FS),https://www.lansstyrelsen.se/uppsala/om-oss/om-lansstyrelsen-i-uppsala-lan/forfattningar.html
101,Valmyndighetens författningssamling (VALFS),https://www.val.se/om-oss/lagar-och-regler/lagar-och-forordningar.html
102,Vetenskapsrådets författningssamling (VRFS),https://www.vr.se/om-vetenskapsradet/organisation/styrande-dokument/vetenskapsradets-forfattningssamling.html
103,Värmlands läns författningssamling (17FS),https://www.lansstyrelsen.se/varmland/om-oss/om-lansstyrelsen-varmland/forfattningar.html
104,Västerbottens läns författningssamling (24FS),https://www.lansstyrelsen.se/vasterbotten/om-oss/om-lansstyrelsen-i-vasterbottens-lan/forfattningar.html
105,Västernorrlands läns författningssamling (22FS),https://www.lansstyrelsen.se/vasternorrland/om-oss/om-lansstyrelsen-i-vasternorrlands-lan/forfattningar.html
106,Västmanlands läns författningssamling (19FS),https://www.lansstyrelsen.se/vastmanland/om-oss/om-lansstyrelsen-i-vastmanlands-lan/forfattningar.html
107,Västra Götalands läns författningssamling (14FS),https://www.lansstyrelsen.se/vastra-gotaland/om-oss/om-lansstyrelsen-i-vastra-gotaland/forfattningar.html
108,Åklagarmyndighetens författningssamling (ÅFS),https://www.aklagare.se/om-oss/dokument/forfattningssamlingar/
109,Örebro läns författningssamling (18FS),https://www.lansstyrelsen.se/orebro/om-oss/forfattningar.html
110,Östergötlands läns författningssamling (05FS),https://www.lansstyrelsen.se/ostergotland/om-oss/om-lansstyrelsen-i-ostergotlands-lan/forfattningar.html
111,Vanliga frågor,/lar-dig-mer/vanliga-fragor
